"","Iteration","Chain","Parameter","value","rate"
"76",76,1,"mu_b1",0.752305508569948,"met"
"77",77,1,"mu_b1",0.772063073969503,"met"
"78",78,1,"mu_b1",0.805001689183737,"met"
"79",79,1,"mu_b1",0.813552271852997,"met"
"80",80,1,"mu_b1",0.785071402384698,"met"
"81",81,1,"mu_b1",0.812639018540505,"met"
"82",82,1,"mu_b1",0.771357016023604,"met"
"83",83,1,"mu_b1",0.74130635452127,"met"
"84",84,1,"mu_b1",0.829821945831266,"met"
"85",85,1,"mu_b1",0.791398572429276,"met"
"86",86,1,"mu_b1",0.789638896738909,"met"
"87",87,1,"mu_b1",0.789918350442699,"met"
"88",88,1,"mu_b1",0.814099669925466,"met"
"89",89,1,"mu_b1",0.804986056880342,"met"
"90",90,1,"mu_b1",0.794905529334477,"met"
"91",91,1,"mu_b1",0.82681522940245,"met"
"92",92,1,"mu_b1",0.836081322780423,"met"
"93",93,1,"mu_b1",0.782474603861702,"met"
"94",94,1,"mu_b1",0.774625122740498,"met"
"95",95,1,"mu_b1",0.755233419065268,"met"
"96",96,1,"mu_b1",0.718672472163107,"met"
"97",97,1,"mu_b1",0.809971937772914,"met"
"98",98,1,"mu_b1",0.790602805669748,"met"
"99",99,1,"mu_b1",0.733357820354477,"met"
"100",100,1,"mu_b1",0.782463478462974,"met"
"101",101,1,"mu_b1",0.750286167399347,"met"
"102",102,1,"mu_b1",0.773480382489082,"met"
"103",103,1,"mu_b1",0.78281182712096,"met"
"104",104,1,"mu_b1",0.758608017859172,"met"
"105",105,1,"mu_b1",0.781107739268109,"met"
"106",106,1,"mu_b1",0.802821499940712,"met"
"107",107,1,"mu_b1",0.791202562051682,"met"
"108",108,1,"mu_b1",0.790372172346783,"met"
"109",109,1,"mu_b1",0.774059327095324,"met"
"110",110,1,"mu_b1",0.768255798731725,"met"
"111",111,1,"mu_b1",0.733696875774518,"met"
"112",112,1,"mu_b1",0.8641624173714,"met"
"113",113,1,"mu_b1",0.770671066693763,"met"
"114",114,1,"mu_b1",0.776228454986429,"met"
"115",115,1,"mu_b1",0.803342587530265,"met"
"116",116,1,"mu_b1",0.781708489517192,"met"
"117",117,1,"mu_b1",0.760398249386917,"met"
"118",118,1,"mu_b1",0.818268775728597,"met"
"119",119,1,"mu_b1",0.774565575508744,"met"
"120",120,1,"mu_b1",0.757198105274944,"met"
"121",121,1,"mu_b1",0.82172166686546,"met"
"122",122,1,"mu_b1",0.824115171151924,"met"
"123",123,1,"mu_b1",0.787543524437967,"met"
"124",124,1,"mu_b1",0.776586404846713,"met"
"125",125,1,"mu_b1",0.775780104347155,"met"
"126",126,1,"mu_b1",0.784797355406878,"met"
"127",127,1,"mu_b1",0.772789491517288,"met"
"128",128,1,"mu_b1",0.812857301515648,"met"
"129",129,1,"mu_b1",0.787016494782053,"met"
"130",130,1,"mu_b1",0.777682913568563,"met"
"131",131,1,"mu_b1",0.767419126442209,"met"
"132",132,1,"mu_b1",0.765550773030549,"met"
"133",133,1,"mu_b1",0.790985568968475,"met"
"134",134,1,"mu_b1",0.800930561552779,"met"
"135",135,1,"mu_b1",0.794125291606639,"met"
"136",136,1,"mu_b1",0.782909414193229,"met"
"137",137,1,"mu_b1",0.769872222740617,"met"
"138",138,1,"mu_b1",0.737026708224342,"met"
"139",139,1,"mu_b1",0.780882710872632,"met"
"140",140,1,"mu_b1",0.811597368001478,"met"
"141",141,1,"mu_b1",0.737481177256305,"met"
"142",142,1,"mu_b1",0.759644684426517,"met"
"143",143,1,"mu_b1",0.761487985556185,"met"
"144",144,1,"mu_b1",0.799281978185812,"met"
"145",145,1,"mu_b1",0.802781812916018,"met"
"146",146,1,"mu_b1",0.803234441537481,"met"
"147",147,1,"mu_b1",0.810222548744045,"met"
"148",148,1,"mu_b1",0.813569089499534,"met"
"149",149,1,"mu_b1",0.777788476735555,"met"
"150",150,1,"mu_b1",0.800878302593829,"met"
"151",151,1,"mu_b1",0.791634720477686,"met"
"152",152,1,"mu_b1",0.787861168563651,"met"
"153",153,1,"mu_b1",0.825027264884908,"met"
"154",154,1,"mu_b1",0.816109276596735,"met"
"155",155,1,"mu_b1",0.835292847841833,"met"
"156",156,1,"mu_b1",0.75625045974474,"met"
"157",157,1,"mu_b1",0.826306101996788,"met"
"158",158,1,"mu_b1",0.834199462932798,"met"
"159",159,1,"mu_b1",0.813120334823742,"met"
"160",160,1,"mu_b1",0.785062385404681,"met"
"161",161,1,"mu_b1",0.813482575031325,"met"
"162",162,1,"mu_b1",0.832389690903707,"met"
"163",163,1,"mu_b1",0.807655136307444,"met"
"164",164,1,"mu_b1",0.779749266405499,"met"
"165",165,1,"mu_b1",0.773082997378602,"met"
"166",166,1,"mu_b1",0.826610928494557,"met"
"167",167,1,"mu_b1",0.770594186808171,"met"
"168",168,1,"mu_b1",0.806020583393324,"met"
"169",169,1,"mu_b1",0.774621247768912,"met"
"170",170,1,"mu_b1",0.763435770735803,"met"
"171",171,1,"mu_b1",0.768238558075822,"met"
"172",172,1,"mu_b1",0.790785718971741,"met"
"173",173,1,"mu_b1",0.752320077970574,"met"
"174",174,1,"mu_b1",0.7579841996636,"met"
"175",175,1,"mu_b1",0.781673000074227,"met"
"176",176,1,"mu_b1",0.791262190724747,"met"
"177",177,1,"mu_b1",0.752364429396765,"met"
"178",178,1,"mu_b1",0.792994680062376,"met"
"179",179,1,"mu_b1",0.794101223997194,"met"
"180",180,1,"mu_b1",0.779559246259247,"met"
"181",181,1,"mu_b1",0.797895189691992,"met"
"182",182,1,"mu_b1",0.80294240417431,"met"
"183",183,1,"mu_b1",0.733764726665456,"met"
"184",184,1,"mu_b1",0.750802610686908,"met"
"185",185,1,"mu_b1",0.766600900035487,"met"
"186",186,1,"mu_b1",0.795833519153403,"met"
"187",187,1,"mu_b1",0.756956173783663,"met"
"188",188,1,"mu_b1",0.775476375936178,"met"
"189",189,1,"mu_b1",0.764564384286245,"met"
"190",190,1,"mu_b1",0.775344879157187,"met"
"191",191,1,"mu_b1",0.774663847031724,"met"
"192",192,1,"mu_b1",0.825165229078732,"met"
"193",193,1,"mu_b1",0.797733838005655,"met"
"194",194,1,"mu_b1",0.774352834245763,"met"
"195",195,1,"mu_b1",0.768711542189738,"met"
"196",196,1,"mu_b1",0.782840661505433,"met"
"197",197,1,"mu_b1",0.815938611858032,"met"
"198",198,1,"mu_b1",0.830533809650287,"met"
"199",199,1,"mu_b1",0.758218516012298,"met"
"200",200,1,"mu_b1",0.762861860379268,"met"
"201",201,1,"mu_b1",0.799908219959656,"met"
"202",202,1,"mu_b1",0.741705282928332,"met"
"203",203,1,"mu_b1",0.771326814814429,"met"
"204",204,1,"mu_b1",0.776199962332453,"met"
"205",205,1,"mu_b1",0.754220282349531,"met"
"206",206,1,"mu_b1",0.788707545086365,"met"
"207",207,1,"mu_b1",0.78006410069904,"met"
"208",208,1,"mu_b1",0.838284903216914,"met"
"209",209,1,"mu_b1",0.829354245774804,"met"
"210",210,1,"mu_b1",0.75680987172612,"met"
"211",211,1,"mu_b1",0.719950927888941,"met"
"212",212,1,"mu_b1",0.75477776698373,"met"
"213",213,1,"mu_b1",0.750742197790651,"met"
"214",214,1,"mu_b1",0.789296611957299,"met"
"215",215,1,"mu_b1",0.813628416676112,"met"
"216",216,1,"mu_b1",0.80422564821341,"met"
"217",217,1,"mu_b1",0.818291865537224,"met"
"218",218,1,"mu_b1",0.772040931670188,"met"
"219",219,1,"mu_b1",0.81104014370057,"met"
"220",220,1,"mu_b1",0.770944417170228,"met"
"221",221,1,"mu_b1",0.827505893798319,"met"
"222",222,1,"mu_b1",0.800065377936274,"met"
"223",223,1,"mu_b1",0.776784232109625,"met"
"224",224,1,"mu_b1",0.781316440863452,"met"
"225",225,1,"mu_b1",0.802879857430185,"met"
"226",226,1,"mu_b1",0.783441107098183,"met"
"227",227,1,"mu_b1",0.784983660477527,"met"
"228",228,1,"mu_b1",0.771796284136825,"met"
"229",229,1,"mu_b1",0.741931718758357,"met"
"230",230,1,"mu_b1",0.772359392504988,"met"
"231",231,1,"mu_b1",0.749816262598957,"met"
"232",232,1,"mu_b1",0.768268072584265,"met"
"233",233,1,"mu_b1",0.783406975018438,"met"
"234",234,1,"mu_b1",0.801954633707318,"met"
"235",235,1,"mu_b1",0.809614919779531,"met"
"236",236,1,"mu_b1",0.785255603341015,"met"
"237",237,1,"mu_b1",0.77218158438653,"met"
"238",238,1,"mu_b1",0.811974519975097,"met"
"239",239,1,"mu_b1",0.764087276455479,"met"
"240",240,1,"mu_b1",0.809916056363069,"met"
"241",241,1,"mu_b1",0.774099749375017,"met"
"242",242,1,"mu_b1",0.753699452275433,"met"
"243",243,1,"mu_b1",0.741227194036316,"met"
"244",244,1,"mu_b1",0.740595469648744,"met"
"245",245,1,"mu_b1",0.789440226389877,"met"
"246",246,1,"mu_b1",0.736805002467585,"met"
"247",247,1,"mu_b1",0.76980836188915,"met"
"248",248,1,"mu_b1",0.775819879410238,"met"
"249",249,1,"mu_b1",0.790593155659491,"met"
"250",250,1,"mu_b1",0.780609976449369,"met"
"251",251,1,"mu_b1",0.76338241380542,"met"
"252",252,1,"mu_b1",0.814418290268457,"met"
"253",253,1,"mu_b1",0.761578749486067,"met"
"254",254,1,"mu_b1",0.735248242783193,"met"
"255",255,1,"mu_b1",0.804415713672519,"met"
"256",256,1,"mu_b1",0.752963003652442,"met"
"257",257,1,"mu_b1",0.772406732156595,"met"
"258",258,1,"mu_b1",0.779288091024544,"met"
"259",259,1,"mu_b1",0.748050039459734,"met"
"260",260,1,"mu_b1",0.751767589917413,"met"
"261",261,1,"mu_b1",0.768483781806884,"met"
"262",262,1,"mu_b1",0.781439015111546,"met"
"263",263,1,"mu_b1",0.820001216088265,"met"
"264",264,1,"mu_b1",0.79014899934813,"met"
"265",265,1,"mu_b1",0.759152431806692,"met"
"266",266,1,"mu_b1",0.822374223518445,"met"
"267",267,1,"mu_b1",0.789463499543974,"met"
"268",268,1,"mu_b1",0.743944419039959,"met"
"269",269,1,"mu_b1",0.804441996181051,"met"
"270",270,1,"mu_b1",0.758268080321533,"met"
"271",271,1,"mu_b1",0.767574170249756,"met"
"272",272,1,"mu_b1",0.77345827320065,"met"
"273",273,1,"mu_b1",0.773603330094316,"met"
"274",274,1,"mu_b1",0.81640266036218,"met"
"275",275,1,"mu_b1",0.775735201499198,"met"
"276",276,1,"mu_b1",0.7792515929753,"met"
"277",277,1,"mu_b1",0.805296697124546,"met"
"278",278,1,"mu_b1",0.776992812871294,"met"
"279",279,1,"mu_b1",0.77061376828886,"met"
"280",280,1,"mu_b1",0.757997023979737,"met"
"281",281,1,"mu_b1",0.758463693541713,"met"
"282",282,1,"mu_b1",0.770980173445367,"met"
"283",283,1,"mu_b1",0.799312296127342,"met"
"284",284,1,"mu_b1",0.804159199054406,"met"
"285",285,1,"mu_b1",0.798786448360294,"met"
"286",286,1,"mu_b1",0.795135201817235,"met"
"287",287,1,"mu_b1",0.786881362053673,"met"
"288",288,1,"mu_b1",0.828829301837519,"met"
"289",289,1,"mu_b1",0.792192238164099,"met"
"290",290,1,"mu_b1",0.833647023344469,"met"
"291",291,1,"mu_b1",0.806836551181873,"met"
"292",292,1,"mu_b1",0.803461170671045,"met"
"293",293,1,"mu_b1",0.814451536092354,"met"
"294",294,1,"mu_b1",0.810315538163047,"met"
"295",295,1,"mu_b1",0.764389485714373,"met"
"296",296,1,"mu_b1",0.788484086113607,"met"
"297",297,1,"mu_b1",0.785001599244829,"met"
"298",298,1,"mu_b1",0.809324187048796,"met"
"299",299,1,"mu_b1",0.792829755893245,"met"
"300",300,1,"mu_b1",0.814738743104602,"met"
"301",301,1,"mu_b1",0.832395829760748,"met"
"302",302,1,"mu_b1",0.796934360993603,"met"
"303",303,1,"mu_b1",0.854730374369161,"met"
"304",304,1,"mu_b1",0.75863585211557,"met"
"305",305,1,"mu_b1",0.784564828205088,"met"
"306",306,1,"mu_b1",0.809094756752333,"met"
"307",307,1,"mu_b1",0.822890788077106,"met"
"308",308,1,"mu_b1",0.750703988438982,"met"
"309",309,1,"mu_b1",0.80345113234023,"met"
"310",310,1,"mu_b1",0.781126387300339,"met"
"311",311,1,"mu_b1",0.756663804412256,"met"
"312",312,1,"mu_b1",0.792501476040941,"met"
"313",313,1,"mu_b1",0.811617314942988,"met"
"314",314,1,"mu_b1",0.80214284486023,"met"
"315",315,1,"mu_b1",0.794833327437129,"met"
"316",316,1,"mu_b1",0.823687941649219,"met"
"317",317,1,"mu_b1",0.807133581720969,"met"
"318",318,1,"mu_b1",0.79451203875706,"met"
"319",319,1,"mu_b1",0.799232182151352,"met"
"320",320,1,"mu_b1",0.804685802595118,"met"
"321",321,1,"mu_b1",0.827502654710793,"met"
"322",322,1,"mu_b1",0.801769985613167,"met"
"323",323,1,"mu_b1",0.824270553798751,"met"
"324",324,1,"mu_b1",0.801831936027184,"met"
"325",325,1,"mu_b1",0.786462495051349,"met"
"326",326,1,"mu_b1",0.797703452405644,"met"
"327",327,1,"mu_b1",0.806308008478327,"met"
"328",328,1,"mu_b1",0.802221021257604,"met"
"329",329,1,"mu_b1",0.800364798392118,"met"
"330",330,1,"mu_b1",0.824221434078365,"met"
"331",331,1,"mu_b1",0.781691693216256,"met"
"332",332,1,"mu_b1",0.792609903361467,"met"
"333",333,1,"mu_b1",0.798297897781639,"met"
"334",334,1,"mu_b1",0.799524474192131,"met"
"335",335,1,"mu_b1",0.779950514554755,"met"
"336",336,1,"mu_b1",0.760535584562892,"met"
"337",337,1,"mu_b1",0.803566264065888,"met"
"338",338,1,"mu_b1",0.752746807614007,"met"
"339",339,1,"mu_b1",0.789827322037585,"met"
"340",340,1,"mu_b1",0.776098582748295,"met"
"341",1,2,"mu_b1",0.811199449026737,"met"
"342",2,2,"mu_b1",0.747241721100228,"met"
"343",3,2,"mu_b1",0.829551636340562,"met"
"344",4,2,"mu_b1",0.783309594709878,"met"
"345",5,2,"mu_b1",0.799847804563334,"met"
"346",6,2,"mu_b1",0.798353337821476,"met"
"347",7,2,"mu_b1",0.785029925762072,"met"
"348",8,2,"mu_b1",0.822875758241057,"met"
"349",9,2,"mu_b1",0.729421114901712,"met"
"350",10,2,"mu_b1",0.797426204710198,"met"
"351",11,2,"mu_b1",0.780010250283701,"met"
"352",12,2,"mu_b1",0.83180503214188,"met"
"353",13,2,"mu_b1",0.753809990638706,"met"
"354",14,2,"mu_b1",0.785537958100833,"met"
"355",15,2,"mu_b1",0.831061481639963,"met"
"356",16,2,"mu_b1",0.807381199664486,"met"
"357",17,2,"mu_b1",0.792346356626396,"met"
"358",18,2,"mu_b1",0.736124992874609,"met"
"359",19,2,"mu_b1",0.725727633806333,"met"
"360",20,2,"mu_b1",0.783616413400352,"met"
"361",21,2,"mu_b1",0.788153336379144,"met"
"362",22,2,"mu_b1",0.827525665301814,"met"
"363",23,2,"mu_b1",0.827000822189024,"met"
"364",24,2,"mu_b1",0.770351054116887,"met"
"365",25,2,"mu_b1",0.778526704185321,"met"
"366",26,2,"mu_b1",0.759293292729434,"met"
"367",27,2,"mu_b1",0.838135404248492,"met"
"368",28,2,"mu_b1",0.795254453567111,"met"
"369",29,2,"mu_b1",0.776480550436566,"met"
"370",30,2,"mu_b1",0.767866406721906,"met"
"371",31,2,"mu_b1",0.786105993531958,"met"
"372",32,2,"mu_b1",0.78595843688227,"met"
"373",33,2,"mu_b1",0.747719886985728,"met"
"374",34,2,"mu_b1",0.832411060819182,"met"
"375",35,2,"mu_b1",0.80869402473843,"met"
"376",36,2,"mu_b1",0.82260018240303,"met"
"377",37,2,"mu_b1",0.759209929381061,"met"
"378",38,2,"mu_b1",0.797411669412342,"met"
"379",39,2,"mu_b1",0.827464472661998,"met"
"380",40,2,"mu_b1",0.771908811710001,"met"
"381",41,2,"mu_b1",0.788104963623046,"met"
"382",42,2,"mu_b1",0.787855877089152,"met"
"383",43,2,"mu_b1",0.808685182678684,"met"
"384",44,2,"mu_b1",0.75323328528972,"met"
"385",45,2,"mu_b1",0.793307035772745,"met"
"386",46,2,"mu_b1",0.787904534853458,"met"
"387",47,2,"mu_b1",0.767021292483551,"met"
"388",48,2,"mu_b1",0.792348195589357,"met"
"389",49,2,"mu_b1",0.763323072412302,"met"
"390",50,2,"mu_b1",0.794506557330897,"met"
"391",51,2,"mu_b1",0.757755923170904,"met"
"392",52,2,"mu_b1",0.762525839734074,"met"
"393",53,2,"mu_b1",0.810707039829029,"met"
"394",54,2,"mu_b1",0.818416220822116,"met"
"395",55,2,"mu_b1",0.819896434078969,"met"
"396",56,2,"mu_b1",0.792888881503724,"met"
"397",57,2,"mu_b1",0.806305283664927,"met"
"398",58,2,"mu_b1",0.7715823568361,"met"
"399",59,2,"mu_b1",0.77976967077132,"met"
"400",60,2,"mu_b1",0.774371663632264,"met"
"401",61,2,"mu_b1",0.775067750420802,"met"
"402",62,2,"mu_b1",0.825304878219647,"met"
"403",63,2,"mu_b1",0.787292965379618,"met"
"404",64,2,"mu_b1",0.836988367760842,"met"
"405",65,2,"mu_b1",0.812313986907583,"met"
"406",66,2,"mu_b1",0.763999346282788,"met"
"407",67,2,"mu_b1",0.764161743441373,"met"
"408",68,2,"mu_b1",0.813400487018664,"met"
"409",69,2,"mu_b1",0.846174361478292,"met"
"410",70,2,"mu_b1",0.814105536487721,"met"
"411",71,2,"mu_b1",0.727453139549276,"met"
"412",72,2,"mu_b1",0.791987000773411,"met"
"413",73,2,"mu_b1",0.780091042638444,"met"
"414",74,2,"mu_b1",0.74429229339541,"met"
"415",75,2,"mu_b1",0.759336613424234,"met"
"416",76,2,"mu_b1",0.777562737904562,"met"
"417",77,2,"mu_b1",0.824914897053327,"met"
"418",78,2,"mu_b1",0.823022770833698,"met"
"419",79,2,"mu_b1",0.809142578749195,"met"
"420",80,2,"mu_b1",0.78151050574858,"met"
"421",81,2,"mu_b1",0.776101788009565,"met"
"422",82,2,"mu_b1",0.828521615459755,"met"
"423",83,2,"mu_b1",0.787252958294593,"met"
"424",84,2,"mu_b1",0.786065982065731,"met"
"425",85,2,"mu_b1",0.80107316105238,"met"
"426",86,2,"mu_b1",0.780634319951544,"met"
"427",87,2,"mu_b1",0.798028666158229,"met"
"428",88,2,"mu_b1",0.754657156176536,"met"
"429",89,2,"mu_b1",0.802322726425301,"met"
"430",90,2,"mu_b1",0.797212841942613,"met"
"431",91,2,"mu_b1",0.797104157562999,"met"
"432",92,2,"mu_b1",0.782791015683955,"met"
"433",93,2,"mu_b1",0.766386858933652,"met"
"434",94,2,"mu_b1",0.844262328168949,"met"
"435",95,2,"mu_b1",0.787745187664062,"met"
"436",96,2,"mu_b1",0.768833964260927,"met"
"437",97,2,"mu_b1",0.781513183822318,"met"
"438",98,2,"mu_b1",0.816888215319213,"met"
"439",99,2,"mu_b1",0.803347105999417,"met"
"440",100,2,"mu_b1",0.779433488227566,"met"
"441",101,2,"mu_b1",0.745003047919234,"met"
"442",102,2,"mu_b1",0.778900363509409,"met"
"443",103,2,"mu_b1",0.813125001491469,"met"
"444",104,2,"mu_b1",0.7968393539832,"met"
"445",105,2,"mu_b1",0.808469795343651,"met"
"446",106,2,"mu_b1",0.816585694390486,"met"
"447",107,2,"mu_b1",0.77505769519594,"met"
"448",108,2,"mu_b1",0.784611432184224,"met"
"449",109,2,"mu_b1",0.803547312605677,"met"
"450",110,2,"mu_b1",0.822275176618484,"met"
"451",111,2,"mu_b1",0.76584978884502,"met"
"452",112,2,"mu_b1",0.799776510823969,"met"
"453",113,2,"mu_b1",0.804832796831668,"met"
"454",114,2,"mu_b1",0.833762935002028,"met"
"455",115,2,"mu_b1",0.796829268515577,"met"
"456",116,2,"mu_b1",0.830125620265474,"met"
"457",117,2,"mu_b1",0.782353110968691,"met"
"458",118,2,"mu_b1",0.794042873841711,"met"
"459",119,2,"mu_b1",0.801531903988333,"met"
"460",120,2,"mu_b1",0.798618810347644,"met"
"461",121,2,"mu_b1",0.817387306545436,"met"
"462",122,2,"mu_b1",0.79618624260309,"met"
"463",123,2,"mu_b1",0.820843875070209,"met"
"464",124,2,"mu_b1",0.82132556063712,"met"
"465",125,2,"mu_b1",0.78605582268894,"met"
"466",126,2,"mu_b1",0.781355754243725,"met"
"467",127,2,"mu_b1",0.797761657366437,"met"
"468",128,2,"mu_b1",0.830125083423988,"met"
"469",129,2,"mu_b1",0.765421086360069,"met"
"470",130,2,"mu_b1",0.772780132492259,"met"
"471",131,2,"mu_b1",0.803728166300714,"met"
"472",132,2,"mu_b1",0.802605382741887,"met"
"473",133,2,"mu_b1",0.810324028561437,"met"
"474",134,2,"mu_b1",0.809897844408705,"met"
"475",135,2,"mu_b1",0.756064470862471,"met"
"476",136,2,"mu_b1",0.799154877084575,"met"
"477",137,2,"mu_b1",0.825421159635043,"met"
"478",138,2,"mu_b1",0.804472688901886,"met"
"479",139,2,"mu_b1",0.811052154563964,"met"
"480",140,2,"mu_b1",0.724193474031592,"met"
"481",141,2,"mu_b1",0.791926796684927,"met"
"482",142,2,"mu_b1",0.77697478089343,"met"
"483",143,2,"mu_b1",0.814504182507162,"met"
"484",144,2,"mu_b1",0.76493337760658,"met"
"485",145,2,"mu_b1",0.776158250615475,"met"
"486",146,2,"mu_b1",0.802651792155926,"met"
"487",147,2,"mu_b1",0.821622740336906,"met"
"488",148,2,"mu_b1",0.787541350044915,"met"
"489",149,2,"mu_b1",0.785679089625781,"met"
"490",150,2,"mu_b1",0.785871675874069,"met"
"491",151,2,"mu_b1",0.78551979219312,"met"
"492",152,2,"mu_b1",0.814757400993208,"met"
"493",153,2,"mu_b1",0.712573840561426,"met"
"494",154,2,"mu_b1",0.778113628137599,"met"
"495",155,2,"mu_b1",0.793193754637563,"met"
"496",156,2,"mu_b1",0.812031560477219,"met"
"497",157,2,"mu_b1",0.79013153046106,"met"
"498",158,2,"mu_b1",0.788755806532112,"met"
"499",159,2,"mu_b1",0.774758281031499,"met"
"500",160,2,"mu_b1",0.83607936281785,"met"
"501",161,2,"mu_b1",0.79497710607957,"met"
"502",162,2,"mu_b1",0.799558162257116,"met"
"503",163,2,"mu_b1",0.830680406069192,"met"
"504",164,2,"mu_b1",0.798617712661716,"met"
"505",165,2,"mu_b1",0.760691711296694,"met"
"506",166,2,"mu_b1",0.839033618870673,"met"
"507",167,2,"mu_b1",0.822875185289425,"met"
"508",168,2,"mu_b1",0.800270856006556,"met"
"509",169,2,"mu_b1",0.802985970603678,"met"
"510",170,2,"mu_b1",0.766950170103449,"met"
"511",171,2,"mu_b1",0.74395227189997,"met"
"512",172,2,"mu_b1",0.803983879560211,"met"
"513",173,2,"mu_b1",0.804261191617198,"met"
"514",174,2,"mu_b1",0.756266958551121,"met"
"515",175,2,"mu_b1",0.788591022302026,"met"
"516",176,2,"mu_b1",0.804670972373801,"met"
"517",177,2,"mu_b1",0.793383575168227,"met"
"518",178,2,"mu_b1",0.799210647408519,"met"
"519",179,2,"mu_b1",0.828613084586658,"met"
"520",180,2,"mu_b1",0.778280629120072,"met"
"521",181,2,"mu_b1",0.783139289961199,"met"
"522",182,2,"mu_b1",0.796900695860056,"met"
"523",183,2,"mu_b1",0.796125851002623,"met"
"524",184,2,"mu_b1",0.818761966067612,"met"
"525",185,2,"mu_b1",0.776871918963232,"met"
"526",186,2,"mu_b1",0.777272897434039,"met"
"527",187,2,"mu_b1",0.799309094360035,"met"
"528",188,2,"mu_b1",0.771714369719872,"met"
"529",189,2,"mu_b1",0.819027937920921,"met"
"530",190,2,"mu_b1",0.767151711908546,"met"
"531",191,2,"mu_b1",0.805328319880669,"met"
"532",192,2,"mu_b1",0.805850413015205,"met"
"533",193,2,"mu_b1",0.792638868063634,"met"
"534",194,2,"mu_b1",0.779944560684632,"met"
"535",195,2,"mu_b1",0.752537911893415,"met"
"536",196,2,"mu_b1",0.79716839268819,"met"
